AreaCode,Year,Litres
FIN,2000,8.6
FIN,2001,9.0
FIN,2002,9.2
FIN,2003,9.3
FIN,2004,9.9
FIN,2005,10.0
FIN,2006,10.1
FIN,2007,10.5
FIN,2008,10.3
FIN,2009,10.0
FIN,2010,9.7
FIN,2011,9.8
FIN,2012,9.3
FIN,2013,9.1
FIN,2014,8.8
FIN,2015,8.5
FIN,2016,8.4
FIN,2017,8.4
FIN,2018,8.4
FIN,2019,8.2
FIN,2020,8.2
FIN,2021,8.1
FIN,2022,7.6
FRA,1970,23.2
FRA,1971,22.9
FRA,1972,22.6
FRA,1973,22.8
FRA,1974,22.5
FRA,1975,22.5
FRA,1976,22.2
FRA,1977,22.1
FRA,1978,21.1
FRA,1979,20.6
FRA,1980,20.1
FRA,1981,19.5
FRA,1982,19.4
FRA,1983,18.8
FRA,1984,17.9
FRA,1985,17.6
FRA,1986,17.1
FRA,1987,16.8
FRA,1988,16.8
FRA,1989,17.0
FRA,1990,15.4
FRA,1991,15.4
FRA,1992,15.4
FRA,1993,14.7
FRA,1994,14.6
FRA,1995,14.5
FRA,1996,14.5
FRA,1997,14.3
FRA,1998,14.5
FRA,1999,14.4
FRA,2000,13.9
FRA,2001,14.1
FRA,2002,13.9
FRA,2003,13.4
FRA,2004,13.1
FRA,2005,12.9
FRA,2006,13.1
FRA,2007,12.9
FRA,2008,12.5
FRA,2009,12.6
FRA,2010,12.3
FRA,2011,12.4
FRA,2012,12.2
FRA,2013,11.6
FRA,2014,12.0
FRA,2015,11.9
FRA,2016,11.7
FRA,2017,11.7
FRA,2018,11.6
FRA,2019,11.4
FRA,2020,10.4
FRA,2021,10.6
FRA,2022,10.8
DEU,1961,11.0
DEU,1962,12.1
DEU,1963,12.9
DEU,1964,13.7
DEU,1965,14.0
DEU,1966,13.6
DEU,1967,13.5
DEU,1968,14.0
DEU,1969,15.0
DEU,1970,15.5
DEU,1971,16.5
DEU,1972,16.3
DEU,1973,16.7
DEU,1974,15.9
DEU,1975,16.8
DEU,1976,17.2
DEU,1977,16.4
DEU,1978,16.3
DEU,1979,16.7
DEU,1980,16.5
DEU,1981,16.0
DEU,1982,15.7
DEU,1983,15.8
DEU,1984,15.1
DEU,1985,15.1
DEU,1986,14.7
DEU,1987,14.8
DEU,1988,14.6
DEU,1989,14.6
DEU,1990,14.9
DEU,1991,13.9
DEU,1992,13.8
DEU,1993,13.5
DEU,1994,13.4
DEU,1995,13.4
DEU,1996,13.1
DEU,1997,13.0
DEU,1998,12.7
DEU,1999,12.8
DEU,2000,12.9
DEU,2001,12.5
DEU,2002,12.3
DEU,2003,11.9
DEU,2004,11.8
DEU,2005,11.7
DEU,2006,11.8
DEU,2007,11.5
DEU,2008,11.4
DEU,2009,11.2
DEU,2010,11.6
DEU,2011,11.3
DEU,2012,11.3
DEU,2013,11.1
DEU,2014,11.1
DEU,2015,11.1
DEU,2016,11.0
DEU,2017,10.9
DEU,2018,10.9
DEU,2019,10.6
GRC,1963,9.7
GRC,1964,9.8
GRC,1965,10.0
GRC,1966,10.1
GRC,1967,10.1
GRC,1968,10.2
GRC,1969,10.2
GRC,1970,10.3
GRC,1971,10.4
GRC,1972,10.4
GRC,1973,10.7
GRC,1974,10.9
GRC,1975,10.9
GRC,1976,11.0
GRC,1977,10.9
GRC,1978,11.4
GRC,1979,11.6
GRC,1980,13.2
GRC,1981,12.0
GRC,1982,11.0
GRC,1983,11.8
GRC,1984,11.6
GRC,1985,10.9
GRC,1986,8.9
GRC,1987,9.8
GRC,1988,10.1
GRC,1989,10.2
GRC,1990,10.3
GRC,1991,10.2
GRC,1992,10.0
GRC,1993,10.7
GRC,1994,10.4
GRC,1995,10.1
GRC,1996,9.7
GRC,1997,9.5
GRC,1998,9.0
GRC,1999,9.5
GRC,2000,8.6
GRC,2001,8.8
GRC,2002,8.2
GRC,2003,8.9
GRC,2004,9.1
GRC,2005,9.2
GRC,2006,8.7
GRC,2007,8.9
GRC,2008,8.7
GRC,2009,8.3
GRC,2010,8.3
GRC,2011,7.5
GRC,2012,7.6
GRC,2013,7.6
GRC,2014,7.1
GRC,2015,6.7
GRC,2016,6.7
GRC,2017,6.7
GRC,2018,6.5
GRC,2019,6.3
HUN,1960,8.2
HUN,1961,8.1
HUN,1962,8.2
HUN,1963,8.6
HUN,1964,9.6
HUN,1965,8.9
HUN,1966,8.9
HUN,1967,9.7
HUN,1968,9.9
HUN,1969,11.1
HUN,1970,11.5
HUN,1971,11.9
HUN,1972,11.9
HUN,1973,11.9
HUN,1974,11.8
HUN,1975,12.6
HUN,1976,13.5
HUN,1977,14.4
HUN,1978,14.6
HUN,1979,14.1
HUN,1980,14.9
HUN,1981,14.8
HUN,1982,14.8
HUN,1983,14.5
HUN,1984,14.9
HUN,1985,14.7
HUN,1986,14.5
HUN,1987,13.5
HUN,1988,13.1
HUN,1989,14.1
HUN,1990,13.9
HUN,1991,13.3
HUN,1992,13.0
HUN,1993,13.1
HUN,1994,12.9
HUN,1995,12.2
HUN,1996,12.5
HUN,1997,12.3
HUN,1998,12.2
HUN,1999,12.2
HUN,2000,12.0
HUN,2001,13.2
HUN,2002,13.3
HUN,2003,13.2
HUN,2004,13.2
HUN,2005,13.0
HUN,2006,13.2
HUN,2007,12.6
HUN,2008,11.8
HUN,2009,11.5
HUN,2010,10.8
HUN,2011,11.4
HUN,2012,11.1
HUN,2013,10.6
HUN,2014,10.9
HUN,2015,10.8
HUN,2016,11.1
HUN,2017,10.7
HUN,2018,11.4
HUN,2019,10.7
HUN,2020,10.4
HUN,2021,10.5
HUN,2022,10.6
ISL,1961,3.0
ISL,1962,3.4
ISL,1963,3.6
ISL,1964,3.6
ISL,1965,3.8
ISL,1966,4.2
ISL,1967,4.4
ISL,1968,3.9
ISL,1969,3.9
ISL,1970,4.6
ISL,1971,4.9
ISL,1972,5.0
ISL,1973,5.2
ISL,1974,5.3
ISL,1975,4.8
ISL,1976,4.8
ISL,1977,5.1
ISL,1978,4.8
ISL,1979,5.1
ISL,1980,5.0
ISL,1981,5.1
ISL,1982,4.9
ISL,1983,5.1
ISL,1984,5.4
ISL,1985,5.3
ISL,1986,5.5
ISL,1987,5.6
ISL,1988,5.5
ISL,1989,5.4
ISL,1990,5.1
ISL,1991,5.0
ISL,1992,4.6
ISL,1993,4.4
ISL,1994,4.6
ISL,1995,4.7
ISL,1996,4.8
ISL,1997,5.1
ISL,1998,5.5
ISL,1999,5.9
ISL,2000,6.2
ISL,2001,6.4
ISL,2002,6.6
ISL,2003,6.6
ISL,2004,6.8
ISL,2005,7.1
ISL,2006,7.2
ISL,2007,7.5
ISL,2008,7.2
ISL,2009,7.2
ISL,2010,6.8
ISL,2011,6.8
ISL,2012,6.8
ISL,2013,6.8
ISL,2014,7.0
ISL,2015,7.7
