AreaCode,Year,BeverageType,Litres
DZA,2019,Beer,0.3
DZA,2019,Wine,0.19
DZA,2019,Spirits,0.079
DZA,2019,Others,0.0
DZA,2020,All,0.5
DZA,2020,Beer,0.25
DZA,2020,Wine,0.18
DZA,2020,Spirits,0.071
DZA,2020,Others,0.0
AND,2000,All,12.68
AND,2000,Beer,3.07
AND,2000,Wine,6.4
AND,2000,Spirits,3.0
AND,2000,Others,0.21
AND,2001,All,12.68
AND,2001,Beer,3.07
AND,2001,Wine,6.4
AND,2001,Spirits,3.0
AND,2001,Others,0.21
AND,2002,All,12.5
AND,2002,Beer,3.12
AND,2002,Wine,6.22
AND,2002,Spirits,2.97
AND,2002,Others,0.19
AND,2003,All,12.22
AND,2003,Beer,3.13
AND,2003,Wine,6.05
AND,2003,Spirits,2.86
AND,2003,Others,0.17
AND,2004,All,12.29
AND,2004,Beer,3.33
AND,2004,Wine,5.85
AND,2004,Spirits,2.95
AND,2004,Others,0.16
AND,2005,All,12.36
AND,2005,Beer,3.53
AND,2005,Wine,5.72
AND,2005,Spirits,2.98
AND,2005,Others,0.13
AND,2006,All,12.29
AND,2006,Beer,3.71
AND,2006,Wine,5.48
AND,2006,Spirits,2.96
AND,2006,Others,0.13
AND,2007,All,11.95
AND,2007,Beer,3.68
AND,2007,Wine,5.22
AND,2007,Spirits,2.91
AND,2007,Others,0.13
AND,2008,All,11.57
AND,2008,Beer,3.63
AND,2008,Wine,4.97
AND,2008,Spirits,2.82
AND,2008,Others,0.15
AND,2009,All,11.08
AND,2009,Beer,3.43
AND,2009,Wine,4.81
AND,2009,Spirits,2.7
AND,2009,Others,0.13
AND,2010,All,10.77
AND,2010,Beer,3.28
AND,2010,Wine,4.76
AND,2010,Spirits,2.61
AND,2010,Others,0.12
AND,2011,All,10.44
AND,2011,Beer,3.12
AND,2011,Wine,4.72
AND,2011,Spirits,2.49
AND,2011,Others,0.1
AND,2012,All,10.28
AND,2012,Beer,3.07
AND,2012,Wine,4.69
AND,2012,Spirits,2.41
AND,2012,Others,0.12
AND,2013,All,10.08
AND,2013,Beer,3.13
AND,2013,Wine,4.49
AND,2013,Spirits,2.34
AND,2013,Others,0.13
AND,2014,All,10.35
AND,2014,Beer,3.14
AND,2014,Wine,4.71
AND,2014,Spirits,2.34
AND,2014,Others,0.16
AND,2015,All,10.75
AND,2015,Beer,3.24
AND,2015,Wine,4.97
AND,2015,Spirits,2.37
AND,2015,Others,0.18
AND,2016,All,11.22
AND,2016,Beer,3.27
AND,2016,Wine,5.37
AND,2016,Spirits,2.39
AND,2016,Others,0.19
AND,2017,All,11.12
AND,2017,Beer,3.39
AND,2017,Wine,5.17
AND,2017,Spirits,2.37
AND,2017,Others,0.19
AND,2018,All,11.06
AND,2018,Beer,3.51
AND,2018,Wine,5.04
AND,2018,Spirits,2.33
AND,2018,Others,0.18
AND,2019,All,11.06
AND,2019,Beer,3.51
AND,2019,Wine,5.04
AND,2019,Spirits,2.33
AND,2019,Others,0.18
AND,2020,All,9.6
AND,2020,Beer,3.31
AND,2020,Wine,4.19
AND,2020,Spirits,1.93
AND,2020,Others,0.16
AGO,1961,All,5.37
