AreaCode,Year,Sex,LitresPerCapita
BHR,2006,Male,12.63
BHR,2006,Total,11.07
BHR,2007,Female,4.63
BHR,2007,Male,12.27
BHR,2007,Total,10.78
BHR,2008,Female,4.63
BHR,2008,Male,12.3
BHR,2008,Total,10.83
BHR,2009,Female,4.64
BHR,2009,Male,12.33
BHR,2009,Total,10.88
BHR,2010,Female,4.49
BHR,2010,Male,11.97
BHR,2010,Total,10.57
BHR,2011,Female,4.28
BHR,2011,Male,11.43
BHR,2011,Total,10.11
BHR,2012,Female,4.03
BHR,2012,Male,10.77
BHR,2012,Total,9.52
BHR,2013,Female,3.91
BHR,2013,Male,10.43
BHR,2013,Total,9.22
BHR,2014,Female,3.83
BHR,2014,Male,10.25
BHR,2014,Total,9.05
BHR,2015,Female,3.72
BHR,2015,Male,9.97
BHR,2015,Total,8.81
BHR,2016,Female,3.52
BHR,2016,Male,9.44
BHR,2016,Total,8.35
BHR,2017,Female,3.28
BHR,2017,Male,8.8
BHR,2017,Total,7.8
BHR,2018,Female,3.12
BHR,2018,Male,8.39
BHR,2018,Total,7.45
BHR,2019,Female,3.12
BHR,2019,Male,8.39
BHR,2019,Total,7.45
BHR,2020,Female,2.6
BHR,2020,Male,7.06
BHR,2020,Total,6.27
BGD,2000,Female,0.032
BGD,2000,Male,0.087
BGD,2000,Total,0.072
BGD,2001,Female,0.032
BGD,2001,Male,0.087
BGD,2001,Total,0.072
BGD,2002,Female,0.026
BGD,2002,Male,0.072
BGD,2002,Total,0.06
BGD,2003,Female,0.025
BGD,2003,Male,0.069
BGD,2003,Total,0.058
BGD,2004,Female,0.02
BGD,2004,Male,0.055
BGD,2004,Total,0.045
BGD,2005,Female,0.021
BGD,2005,Male,0.057
BGD,2005,Total,0.047
BGD,2006,Female,0.026
BGD,2006,Male,0.072
BGD,2006,Total,0.059
BGD,2007,Female,0.035
BGD,2007,Male,0.096
BGD,2007,Total,0.079
BGD,2008,Female,0.032
BGD,2008,Male,0.088
BGD,2008,Total,0.073
BGD,2009,Female,0.031
BGD,2009,Male,0.085
BGD,2009,Total,0.07
BGD,2010,Female,0.032
BGD,2010,Male,0.089
BGD,2010,Total,0.073
BGD,2011,Female,0.037
BGD,2011,Male,0.1
BGD,2011,Total,0.085
BGD,2012,Female,0.038
BGD,2012,Male,0.11
BGD,2012,Total,0.087
BGD,2013,Female,0.04
BGD,2013,Male,0.11
BGD,2013,Total,0.09
BGD,2014,Female,0.04
BGD,2014,Male,0.11
BGD,2014,Total,0.091
BGD,2015,Female,0.04
BGD,2015,Male,0.11
BGD,2015,Total,0.092
BGD,2016,Female,0.041
BGD,2016,Male,0.11
BGD,2016,Total,0.093
BGD,2017,Female,0.042
BGD,2017,Male,0.12
BGD,2017,Total,0.095
BGD,2018,Female,0.042
BGD,2018,Male,0.12
BGD,2018,Total,0.097
BGD,2019,Female,0.042
BGD,2019,Male,0.12
BGD,2019,Total,0.097
BGD,2020,Female,0.74
BGD,2020,Male,2.04
BGD,2020,Total,1.68
BRB,2000,Female,6.71
BRB,2000,Male,18.28
BRB,2000,Total,13.28
BRB,2001,Female,6.71
BRB,2001,Male,18.28
BRB,2001,Total,13.28
BRB,2002,Female,6.7
BRB,2002,Male,18.27
BRB,2002,Total,13.27
BRB,2003,Female,6.8
BRB,2003,Male,18.57
BRB,2003,Total,13.47
BRB,2004,Female,6.98
BRB,2004,Male,19.11
BRB,2004,Total,13.84
BRB,2005,Female,7.24
BRB,2005,Male,19.9
BRB,2005,Total,14.37
BRB,2006,Female,7.38
BRB,2006,Male,20.35
BRB,2006,Total,14.66
BRB,2007,Female,7.58
BRB,2007,Male,20.94
BRB,2007,Total,15.06
BRB,2008,Female,7.6
BRB,2008,Male,21.04
BRB,2008,Total,15.12
BRB,2009,Female,7.66
BRB,2009,Male,21.25
BRB,2009,Total,15.26
BRB,2010,Female,7.57
BRB,2010,Male,20.99
BRB,2010,Total,15.09
BRB,2011,Female,7.63
BRB,2011,Male,21.17
BRB,2011,Total,15.22
BRB,2012,Female,7.72
BRB,2012,Male,21.45
BRB,2012,Total,15.42
BRB,2013,Female,7.84
BRB,2013,Male,21.82
BRB,2013,Total,15.68
BRB,2014,Female,7.99
BRB,2014,Male,22.29
BRB,2014,Total,16.01
BRB,2015,Female,8.22
BRB,2015,Male,23.0
BRB,2015,Total,16.5
BRB,2016,Female,8.37
BRB,2016,Male,23.47
BRB,2016,Total,16.83
BRB,2017,Female,8.44
BRB,2017,Male,23.69
BRB,2017,Total,16.99
BRB,2018,Female,8.43
BRB,2018,Male,23.67
BRB,2018,Total,16.98
BRB,2019,Female,8.43
BRB,2019,Male,23.67
BRB,2019,Total,16.98
BRB,2020,Female,7.6
BRB,2020,Male,21.18
BRB,2020,Total,15.31
BLR,2000,Female,9.29
BLR,2000,Male,26.68
BLR,2000,Total,18.23
BLR,2001,Female,9.29
BLR,2001,Male,26.68
BLR,2001,Total,18.23
BLR,2002,Female,8.95
BLR,2002,Male,25.6
BLR,2002,Total,17.53
BLR,2003,Female,9.2
BLR,2003,Male,26.4
BLR,2003,Total,18.05
BLR,2004,Female,9.09
BLR,2004,Male,26.05
BLR,2004,Total,17.81
BLR,2005,Female,9.36
BLR,2005,Male,26.92
BLR,2005,Total,18.38
BLR,2006,Female,9.7
BLR,2006,Male,28.03
BLR,2006,Total,19.09
BLR,2007,Female,10.33
BLR,2007,Male,30.03
BLR,2007,Total,20.38
BLR,2008,Female,10.56
BLR,2008,Male,30.81
BLR,2008,Total,20.88
BLR,2009,Female,10.6
BLR,2009,Male,31.03
BLR,2009,Total,21.0
BLR,2010,Female,10.53
BLR,2010,Male,30.89
BLR,2010,Total,20.88
BLR,2011,Female,10.4
BLR,2011,Male,30.55
BLR,2011,Total,20.64
BLR,2012,Female,10.01
BLR,2012,Male,29.39
BLR,2012,Total,19.86
BLR,2013,Female,9.37
BLR,2013,Male,27.43
BLR,2013,Total,18.57
BLR,2014,Female,8.62
BLR,2014,Male,25.15
BLR,2014,Total,17.07
BLR,2015,Female,8.07
BLR,2015,Male,23.46
BLR,2015,Total,15.97
BLR,2016,Female,7.77
BLR,2016,Male,22.56
BLR,2016,Total,15.38
