Cause,AreaCode,Sex,Deaths,LitresPerCapita,Population
PercentLiverCirrhosis,MUS,Both,63.9,7.52,1069.248
PercentLiverCirrhosis,MUS,Female,45.25,2.75,531.838
PercentLiverCirrhosis,MUS,Male,67.41,12.45,537.411
PercentLiverCirrhosis,MEX,Both,54.81,5.72,92628.495
PercentLiverCirrhosis,MEX,Female,37.57,2.3,48295.902
PercentLiverCirrhosis,MEX,Male,60.17,9.38,44332.593
PercentLiverCirrhosis,FSM,Both,31.84,2.12,73.815
PercentLiverCirrhosis,FSM,Female,24.41,0.72,37.525
PercentLiverCirrhosis,FSM,Male,34.85,3.53,36.293
PercentLiverCirrhosis,MNG,Both,57.57,7.93,2187.978
PercentLiverCirrhosis,MNG,Female,46.79,3.35,1110.617
PercentLiverCirrhosis,MNG,Male,66.5,12.71,1077.361
PercentLiverCirrhosis,MAR,Both,13.31,0.49,26350.094
PercentLiverCirrhosis,MAR,Female,10.28,0.11,13118.726
PercentLiverCirrhosis,MAR,Male,15.83,0.86,13231.373
PercentLiverCirrhosis,MOZ,Both,29.77,2.03,16350.799
PercentLiverCirrhosis,MOZ,Female,21.86,0.68,8686.418
PercentLiverCirrhosis,MOZ,Male,35.05,3.48,7664.384
PercentLiverCirrhosis,MMR,Both,31.88,2.12,39283.608
PercentLiverCirrhosis,MMR,Female,27.74,0.77,19885.464
PercentLiverCirrhosis,MMR,Male,33.32,3.5,19398.148
PercentLiverCirrhosis,NAM,Both,54.77,5.93,1670.455
PercentLiverCirrhosis,NAM,Female,35.88,2.0,867.712
PercentLiverCirrhosis,NAM,Male,63.8,10.27,802.742
PercentLiverCirrhosis,NPL,Both,23.0,1.36,19622.783
PercentLiverCirrhosis,NPL,Female,20.05,0.48,10525.236
PercentLiverCirrhosis,NPL,Male,24.91,2.4,9097.547
PercentLiverCirrhosis,NLD,Both,65.12,9.3,14767.656
PercentLiverCirrhosis,NLD,Female,56.81,4.23,7488.404
PercentLiverCirrhosis,NLD,Male,69.57,14.51,7279.251
PercentLiverCirrhosis,NZL,Both,66.27,9.89,4033.13
PercentLiverCirrhosis,NZL,Female,59.88,4.66,2048.285
PercentLiverCirrhosis,NZL,Male,69.51,15.36,1984.846
PercentLiverCirrhosis,NIC,Both,44.23,4.17,4487.557
PercentLiverCirrhosis,NIC,Female,29.9,1.64,2312.042
PercentLiverCirrhosis,NIC,Male,48.52,6.84,2175.5190000000002
PercentLiverCirrhosis,NER,Both,9.92,0.13,11858.881
PercentLiverCirrhosis,NER,Female,8.07,0.034,5844.978
PercentLiverCirrhosis,NER,Male,10.98,0.23,6013.9039999999995
PercentLiverCirrhosis,NGA,Both,45.24,4.21,118931.701
PercentLiverCirrhosis,NGA,Female,28.74,1.37,59055.3
PercentLiverCirrhosis,NGA,Male,53.8,7.02,59876.4
PercentLiverCirrhosis,MKD,Both,53.09,4.62,1570.45
PercentLiverCirrhosis,MKD,Female,36.87,1.63,811.617
PercentLiverCirrhosis,MKD,Male,58.4,7.66,758.832
PercentLiverCirrhosis,NOR,Both,57.28,6.8,4415.2119999999995
PercentLiverCirrhosis,NOR,Female,51.57,3.09,2198.248
PercentLiverCirrhosis,NOR,Male,60.16,10.49,2216.968
PercentLiverCirrhosis,OMN,Both,15.31,0.88,3490.015
PercentLiverCirrhosis,OMN,Female,13.1,0.17,1128.619
PercentLiverCirrhosis,OMN,Male,16.23,1.21,2361.397
PercentLiverCirrhosis,PAK,Both,8.6,0.1,142891.94
PercentLiverCirrhosis,PAK,Female,6.94,0.028,70076.529
PercentLiverCirrhosis,PAK,Male,10.8,0.18,72815.415
PercentLiverCirrhosis,PAN,Both,50.84,6.6,3102.245
PercentLiverCirrhosis,PAN,Female,37.84,2.65,1562.175
PercentLiverCirrhosis,PAN,Male,59.43,10.6,1540.071
PercentLiverCirrhosis,PNG,Both,24.43,1.7,6245.656
PercentLiverCirrhosis,PNG,Female,21.95,0.57,3032.828
PercentLiverCirrhosis,PNG,Male,24.86,2.75,3212.828
PercentLiverCirrhosis,PRY,Both,55.13,5.6,4606.2609999999995
PercentLiverCirrhosis,PRY,Female,41.68,2.37,2308.1349999999998
PercentLiverCirrhosis,PRY,Male,57.01,8.85,2298.128
PercentLiverCirrhosis,PER,Both,55.68,7.45,24042.444
PercentLiverCirrhosis,PER,Female,46.6,3.46,12141.928
PercentLiverCirrhosis,PER,Male,61.09,11.58,11900.52
PercentLiverCirrhosis,PHL,Both,55.26,6.18,76152.295
PercentLiverCirrhosis,PHL,Female,38.5,2.4,38468.701
PercentLiverCirrhosis,PHL,Male,61.61,9.92,37683.598
PercentLiverCirrhosis,POL,Both,73.7,11.63,32330.564
PercentLiverCirrhosis,POL,Female,63.73,5.15,16806.277
PercentLiverCirrhosis,POL,Male,77.54,18.67,15524.291
PercentLiverCirrhosis,PRT,Both,71.17,10.45,8943.581
PercentLiverCirrhosis,PRT,Female,61.04,4.81,4751.8949999999995
PercentLiverCirrhosis,PRT,Male,73.86,16.89,4191.683
PercentLiverCirrhosis,QAT,Both,15.71,1.15,2390.663
PercentLiverCirrhosis,QAT,Female,14.64,0.26,547.719
PercentLiverCirrhosis,QAT,Male,16.04,1.4,1842.95
PercentLiverCirrhosis,KOR,Both,63.54,8.19,45343.247
PercentLiverCirrhosis,KOR,Female,53.61,3.63,22764.874
PercentLiverCirrhosis,KOR,Male,66.7,12.79,22578.374
PercentLiverCirrhosis,MDA,Both,55.54,11.36,2496.916
PercentLiverCirrhosis,MDA,Female,59.24,5.09,1370.994
PercentLiverCirrhosis,MDA,Male,52.33,18.49,1125.922
PercentLiverCirrhosis,ROU,Both,76.93,16.99,16372.693
PercentLiverCirrhosis,ROU,Female,67.84,7.51,8526.677
PercentLiverCirrhosis,ROU,Male,81.85,27.3,7846.012
PercentLiverCirrhosis,RUS,Both,51.71,10.42,120685.512
PercentLiverCirrhosis,RUS,Female,56.19,4.17,65902.392
PercentLiverCirrhosis,RUS,Male,48.66,17.95,54783.12
PercentLiverCirrhosis,RWA,Both,36.87,1.88,7708.735
PercentLiverCirrhosis,RWA,Female,26.74,0.69,4038.717
PercentLiverCirrhosis,RWA,Male,41.96,3.18,3670.018
PercentLiverCirrhosis,LCA,Both,64.66,9.47,143.769
PercentLiverCirrhosis,LCA,Female,51.45,3.94,72.842
PercentLiverCirrhosis,LCA,Male,71.59,15.15,70.929
PercentLiverCirrhosis,VCT,Both,60.9,7.16,80.769
PercentLiverCirrhosis,VCT,Female,46.45,2.84,39.22
PercentLiverCirrhosis,VCT,Male,64.53,11.26,41.553
PercentLiverCirrhosis,WSM,Both,33.29,2.39,129.103
PercentLiverCirrhosis,WSM,Female,24.62,0.81,64.714
PercentLiverCirrhosis,WSM,Male,37.38,3.93,64.391
PercentLiverCirrhosis,STP,Both,49.07,5.01,127.02799999999999
PercentLiverCirrhosis,STP,Female,39.15,2.09,63.983
